,Date,BidOpen,BidHigh,BidLow,BidClose,AskOpen,AskHigh,AskLow,AskClose,Volume,MA200,price_change,upmove,downmove,avg_up,avg_down,RS,RSI,Buy
1982,2022-04-05 02:00:00,1.0968,1.09727,1.09649,1.09688,1.0968799999999999,1.0973499999999998,1.0965699999999998,1.09696,2269,1.103920700000001,7.293946024811149e-05,7.293946024811149e-05,0.0,0.00011289678359221908,0.00028595301394832213,0.3948088604955986,-154.2871219619318,No
1983,2022-04-05 03:00:00,1.09688,1.09722,1.09677,1.09721,1.09696,1.0973,1.0968499999999999,1.0972899999999999,2236,1.103905700000001,0.00030085332944351784,0.00030085332944351784,0.0,0.00013169243817734896,0.0002573577125534899,0.511709701142054,-96.4233030501787,No
1984,2022-04-05 04:00:00,1.09721,1.09721,1.09619,1.09639,1.0972899999999999,1.0973,1.0962699999999999,1.09646,6273,1.103893200000001,-0.000747350097064392,0.0,0.000747350097064392,0.00011852319435961406,0.00030635695100458013,0.3868794031634102,-159.47847981134828,No
1985,2022-04-05 05:00:00,1.09639,1.09718,1.09619,1.09685,1.09646,1.09726,1.0962699999999999,1.09693,3629,1.103884950000001,0.00041955873366239516,0.00041955873366239516,0.0,0.0001486267482898922,0.0002757212559041221,0.539047117722309,-86.51254002162233,No
1986,2022-04-05 06:00:00,1.09685,1.09803,1.09635,1.09752,1.09693,1.09812,1.09643,1.0976199999999998,8837,1.103880150000001,0.0006108401331084146,0.0006108401331084146,0.0,0.00019484808677174445,0.0002481491303137098,0.7852056000575853,-28.355179322035156,No
1987,2022-04-05 07:00:00,1.09752,1.09883,1.0970900000000001,1.09811,1.0976199999999998,1.09893,1.0971899999999999,1.09821,14370,1.1038781000000009,0.0005375756250454167,0.0005375756250454167,0.0,0.00022912084059911172,0.00022333421728233885,1.025910151105316,1.5255770281052747,No
1988,2022-04-05 08:00:00,1.09811,1.09846,1.09616,1.09674,1.09821,1.09853,1.0962299999999998,1.09682,9986,1.1038732000000009,-0.0012475981459051377,0.0,0.0012475981459051377,0.00020620875653920052,0.0003257606101446188,0.6330070306770847,-58.97612846896308,No
1989,2022-04-05 09:00:00,1.09674,1.09851,1.0966500000000001,1.09779,1.09682,1.09859,1.09673,1.0978599999999998,8622,1.103869350000001,0.0009573827889928221,0.0009573827889928221,0.0,0.0002813261597845627,0.00029318454913015686,0.959553157283436,-5.215174783132582,No
1990,2022-04-05 10:00:00,1.09779,1.09779,1.09559,1.09694,1.0978599999999998,1.0978599999999998,1.0956599999999999,1.097,9684,1.1038651000000008,-0.0007742828774173205,0.0,0.0007742828774173205,0.0002531935438061064,0.00034129438195887324,0.741862618285398,-35.79584701426421,No
1991,2022-04-05 11:00:00,1.09694,1.09773,1.09624,1.09669,1.097,1.09781,1.09631,1.09675,9018,1.1038600000000007,-0.00022790672233674591,0.0,0.00022790672233674591,0.00022787418942549578,0.0003299556159966605,0.6906207331467336,-45.79727468412591,No
